1;0;StartTrip;Russian;1;6
2;0;StartTrip;Chinese;3;6
3;0;StartTrip;American;6;3
4;0;StartTrip;French;5;6
5;0;StartTrip;English;2;6
6;0;StartTrip;German;4;6
7;1;FinishTrip;0;Russian;6
8;1;StartTrip;Russian;6;1
9;2;FinishTrip;0;American;3
10;2;StartTrip;American;3;6
11;3;FinishTrip;0;German;6
12;3;StartTrip;German;6;4
13;4;FinishTrip;German;4
14;4;FinishTrip;0;Chinese;6
15;4;StartTrip;German;4;6
16;4;StartTrip;Chinese;6;3
17;5;FinishTrip;Russian;1
18;5;FinishTrip;0;French;6
19;5;StartTrip;Russian;1;6
20;5;StartTrip;French;6;5
21;6;FinishTrip;Chinese;3
22;6;FinishTrip;American;6
23;6;FinishTrip;1;Russian;6
24;6;ChangePet;2;Russian;American;Bear;Dog
25;6;StartTrip;Chinese;3;6
26;6;StartTrip;Russian;6;1
27;6;StartTrip;American;6;2
28;7;FinishTrip;0;German;6
29;7;StartTrip;German;6;4
30;8;FinishTrip;French;5
31;8;FinishTrip;German;4
32;8;StartTrip;French;5;6
33;8;StartTrip;German;4;1
34;10;FinishTrip;Russian;1
35;10;FinishTrip;0;English;6
36;10;FinishTrip;1;German;1
37;10;FinishTrip;0;Chinese;6
38;10;StartTrip;Russian;1;6
39;10;StartTrip;Chinese;6;3
40;10;StartTrip;English;6;2
41;10;StartTrip;German;1;4
42;11;FinishTrip;0;American;2
43;11;FinishTrip;0;Russian;6
44;11;StartTrip;American;2;6
45;11;StartTrip;Russian;6;1
46;12;FinishTrip;German;4
47;12;FinishTrip;Chinese;3
48;12;StartTrip;German;4;6
49;12;StartTrip;Chinese;3;6
50;13;FinishTrip;0;French;6
51;13;StartTrip;French;6;5
52;15;FinishTrip;English;2
53;15;FinishTrip;Russian;1
54;15;FinishTrip;0;German;6
55;15;StartTrip;English;2;1
56;15;StartTrip;German;6;4
57;15;StartTrip;Russian;1;6
58;16;FinishTrip;French;5
59;16;FinishTrip;German;4
60;16;FinishTrip;0;Russian;6
61;16;FinishTrip;0;Chinese;6
62;16;StartTrip;French;5;6
63;16;StartTrip;Chinese;6;3
64;16;StartTrip;German;4;5
65;16;StartTrip;Russian;6;1
66;18;FinishTrip;Chinese;3
67;18;StartTrip;Chinese;3;6
68;20;FinishTrip;Russian;1
69;20;FinishTrip;1;English;1
70;20;StartTrip;Russian;1;2
71;20;StartTrip;English;1;2
72;21;FinishTrip;1;American;6
73;21;FinishTrip;French;6
74;21;ChangePet;2;French;American;Dog;Humpster
75;21;changeHouse;2;French;American;6;5
76;21;StartTrip;American;6;5
77;21;StartTrip;French;6;4
78;22;FinishTrip;0;German;5
79;22;FinishTrip;0;French;4
80;22;FinishTrip;0;Chinese;6
81;22;StartTrip;German;5;4
82;22;StartTrip;Chinese;6;3
83;22;StartTrip;French;4;6
84;24;FinishTrip;American;5
85;24;FinishTrip;Chinese;3
86;24;StartTrip;American;5;1
87;24;StartTrip;Chinese;3;6
88;25;FinishTrip;French;6
89;25;StartTrip;French;6;4
90;26;FinishTrip;German;4
91;26;FinishTrip;English;2
92;26;FinishTrip;1;Russian;2
93;26;FinishTrip;1;French;4
94;26;StartTrip;German;4;6
95;26;StartTrip;French;4;6
96;26;StartTrip;English;2;1
97;26;StartTrip;Russian;2;1
98;28;FinishTrip;0;Chinese;6
99;28;FinishTrip;0;American;1
100;28;StartTrip;Chinese;6;3
101;28;StartTrip;American;1;5
102;29;FinishTrip;French;6
103;29;FinishTrip;1;German;6
104;29;StartTrip;French;6;5
105;29;StartTrip;German;6;4
106;30;FinishTrip;Chinese;3
107;30;FinishTrip;German;4
108;30;StartTrip;Chinese;3;6
109;30;StartTrip;German;4;6
110;31;FinishTrip;Russian;1
111;31;FinishTrip;American;5
112;31;FinishTrip;1;English;1
113;31;StartTrip;Russian;1;2
114;31;StartTrip;English;1;2
115;31;StartTrip;American;5;6
116;32;FinishTrip;0;French;5
117;32;StartTrip;French;5;6
118;33;FinishTrip;0;German;6
119;33;StartTrip;German;6;4
120;34;FinishTrip;German;4
121;34;FinishTrip;0;Chinese;6
122;34;StartTrip;German;4;3
123;34;StartTrip;Chinese;6;3
124;36;FinishTrip;Chinese;3
125;36;FinishTrip;0;American;6
126;36;StartTrip;Chinese;3;6
127;36;StartTrip;American;6;5
128;37;FinishTrip;1;English;2
129;37;FinishTrip;French;6
130;37;FinishTrip;0;German;3
131;37;FinishTrip;Russian;2
132;37;changeHouse;2;Russian;English;2;1
133;37;StartTrip;English;2;1
134;37;StartTrip;Russian;2;6
135;37;StartTrip;French;6;1
136;37;StartTrip;German;3;4
137;39;FinishTrip;American;5
138;39;StartTrip;American;5;6
139;40;FinishTrip;0;Chinese;6
140;40;StartTrip;Chinese;6;3
141;41;FinishTrip;0;French;1
142;41;StartTrip;French;1;6
143;42;FinishTrip;English;1
144;42;FinishTrip;Chinese;3
145;42;FinishTrip;French;6
146;42;FinishTrip;German;4
147;42;StartTrip;English;1;6
148;42;StartTrip;German;4;6
149;42;StartTrip;Chinese;3;1
150;42;StartTrip;French;6;3
151;43;FinishTrip;0;English;6
152;43;StartTrip;English;6;1
153;44;FinishTrip;0;American;6
154;44;FinishTrip;0;French;3
155;44;StartTrip;American;6;5
156;44;StartTrip;French;3;6
157;45;FinishTrip;0;German;6
158;45;StartTrip;German;6;4
159;46;FinishTrip;German;4
160;46;StartTrip;German;4;6
161;47;FinishTrip;English;1
162;47;FinishTrip;American;5
163;47;FinishTrip;0;Russian;6
164;47;StartTrip;English;1;6
165;47;StartTrip;Russian;6;2
166;47;StartTrip;American;5;3
167;48;FinishTrip;French;6
168;48;FinishTrip;1;English;6
169;48;StartTrip;French;6;1
170;48;StartTrip;English;6;1
171;49;FinishTrip;0;German;6
172;49;StartTrip;German;6;4
173;50;FinishTrip;German;4
174;50;StartTrip;German;4;6
175;51;FinishTrip;0;American;3
176;51;StartTrip;American;3;5
177;52;FinishTrip;1;English;1
178;52;FinishTrip;Russian;2
179;52;FinishTrip;French;1
180;52;changeHouse;2;English;French;6;1
181;52;StartTrip;English;1;6
182;52;StartTrip;French;1;6
183;52;StartTrip;Russian;2;6
184;53;FinishTrip;American;5
185;53;FinishTrip;English;6
186;53;FinishTrip;1;German;6
187;53;FinishTrip;1;French;6
188;53;StartTrip;American;5;1
189;53;StartTrip;French;6;1
190;53;StartTrip;English;6;1
191;53;StartTrip;German;6;4
192;54;FinishTrip;German;4
193;54;StartTrip;German;4;5
194;57;FinishTrip;French;1
195;57;FinishTrip;1;American;1
196;57;FinishTrip;1;English;1
197;57;ChangePet;2;English;American;Humpster;Cat
198;57;changeHouse;2;French;American;5;1
199;57;changeHouse;2;French;American;1;5
200;57;StartTrip;French;1;6
201;57;StartTrip;English;1;6
202;57;StartTrip;American;1;5
203;58;FinishTrip;English;6
204;58;FinishTrip;1;French;6
205;58;StartTrip;English;6;5
206;58;StartTrip;French;6;1
207;60;FinishTrip;American;5
208;60;FinishTrip;1;German;5
209;60;StartTrip;American;5;4
210;60;StartTrip;German;5;4
211;61;FinishTrip;0;English;5
212;61;StartTrip;English;5;6
213;62;FinishTrip;French;1
214;62;FinishTrip;0;Russian;6
215;62;StartTrip;French;1;4
216;62;StartTrip;Russian;6;2
217;64;FinishTrip;1;German;4
218;64;FinishTrip;American;4
219;64;FinishTrip;1;French;4
