# Agent 6 Knowledge Log
# Format: time;event_type;knowledge
0;INIT;{6: {'pet': 'Bear', 'house': 6, 'location': 6, 't': 0}}
40;FinishTrip;{6: {'pet': 'Bear', 'house': 6, 'location': 6, 't': 0}, 1: {'pet': 'Dog', 'house': 4, 'location': 4, 't': 40}}
40;ChangePet;{6: {'pet': 'Dog', 'house': 6, 'location': 4, 't': 40}, 1: {'pet': 'Bear', 'house': 4, 'location': 4, 't': 40}}
66;ChangePet;{6: {'pet': 'Cat', 'house': 6, 'location': 5, 't': 66}, 1: {'pet': 'Bear', 'house': 4, 'location': 4, 't': 40}, 2: {'pet': 'Dog', 'house': 4, 'location': 5, 't': 66}}
75;FinishTrip;{6: {'pet': 'Cat', 'house': 6, 'location': 5, 't': 66}, 1: {'pet': 'Bear', 'house': 4, 'location': 4, 't': 40}, 2: {'pet': 'Dog', 'house': 4, 'location': 5, 't': 66}, 4: {'pet': 'Fish', 'house': 1, 'location': 6, 't': 75}}
90;FinishTrip;{6: {'pet': 'Cat', 'house': 6, 'location': 5, 't': 66}, 1: {'pet': 'Bear', 'house': 4, 'location': 4, 't': 40}, 2: {'pet': 'Dog', 'house': 4, 'location': 5, 't': 66}, 4: {'pet': 'Fish', 'house': 1, 'location': 6, 't': 90}}
94;FinishTrip;{6: {'pet': 'Cat', 'house': 6, 'location': 5, 't': 66}, 1: {'pet': 'Bear', 'house': 4, 'location': 4, 't': 40}, 2: {'pet': 'Dog', 'house': 4, 'location': 5, 't': 66}, 4: {'pet': 'Fish', 'house': 1, 'location': 1, 't': 94}}
94;ChangePet;{6: {'pet': 'Fish', 'house': 6, 'location': 1, 't': 94}, 1: {'pet': 'Bear', 'house': 4, 'location': 4, 't': 40}, 2: {'pet': 'Dog', 'house': 4, 'location': 5, 't': 66}, 4: {'pet': 'Cat', 'house': 1, 'location': 1, 't': 94}}
95;FinishTrip;{6: {'pet': 'Fish', 'house': 6, 'location': 1, 't': 94}, 1: {'pet': 'Bear', 'house': 4, 'location': 4, 't': 40}, 2: {'pet': 'Dog', 'house': 4, 'location': 5, 't': 66}, 4: {'pet': 'Cat', 'house': 1, 'location': 6, 't': 95}}
95;changeHouse;{6: {'pet': 'Fish', 'house': 1, 'location': 6, 't': 95}, 1: {'pet': 'Bear', 'house': 4, 'location': 4, 't': 40}, 2: {'pet': 'Dog', 'house': 4, 'location': 5, 't': 66}, 4: {'pet': 'Cat', 'house': 6, 'location': 6, 't': 95}}
99;FinishTrip;{6: {'pet': 'Fish', 'house': 1, 'location': 6, 't': 95}, 1: {'pet': 'Bear', 'house': 4, 'location': 4, 't': 40}, 2: {'pet': 'Dog', 'house': 4, 'location': 5, 't': 66}, 4: {'pet': 'Cat', 'house': 6, 'location': 1, 't': 99}}
99;FinishTrip;{6: {'pet': 'Fish', 'house': 1, 'location': 6, 't': 95}, 1: {'pet': 'Bear', 'house': 2, 'location': 1, 't': 99}, 2: {'pet': 'Dog', 'house': 4, 'location': 5, 't': 66}, 4: {'pet': 'Cat', 'house': 6, 'location': 1, 't': 99}}
99;changeHouse;{6: {'pet': 'Fish', 'house': 6, 'location': 1, 't': 99}, 1: {'pet': 'Bear', 'house': 2, 'location': 1, 't': 99}, 2: {'pet': 'Dog', 'house': 4, 'location': 5, 't': 66}, 4: {'pet': 'Cat', 'house': 1, 'location': 1, 't': 99}}
99;ChangePet;{6: {'pet': 'Bear', 'house': 6, 'location': 1, 't': 99}, 1: {'pet': 'Fish', 'house': 2, 'location': 1, 't': 99}, 2: {'pet': 'Dog', 'house': 4, 'location': 5, 't': 66}, 4: {'pet': 'Cat', 'house': 1, 'location': 1, 't': 99}}
100;FinishTrip;{6: {'pet': 'Bear', 'house': 6, 'location': 1, 't': 99}, 1: {'pet': 'Fish', 'house': 2, 'location': 1, 't': 99}, 2: {'pet': 'Dog', 'house': 4, 'location': 5, 't': 66}, 4: {'pet': 'Cat', 'house': 1, 'location': 6, 't': 100}}
105;FinishTrip;{6: {'pet': 'Bear', 'house': 6, 'location': 1, 't': 99}, 1: {'pet': 'Fish', 'house': 2, 'location': 2, 't': 105}, 2: {'pet': 'Dog', 'house': 4, 'location': 5, 't': 66}, 4: {'pet': 'Cat', 'house': 1, 'location': 6, 't': 100}}
