# Agent 1 Knowledge Log
# Format: time;event_type;knowledge
0;INIT;{1: {'pet': 'Dog', 'house': 1, 'location': 1, 't': 0}}
72;FinishTrip;{1: {'pet': 'Dog', 'house': 1, 'location': 1, 't': 0}, 6: {'pet': 'Humpster', 'house': 6, 'location': 6, 't': 72}}
72;ChangePet;{1: {'pet': 'Humpster', 'house': 1, 'location': 6, 't': 72}, 6: {'pet': 'Dog', 'house': 6, 'location': 6, 't': 72}}
147;ChangePet;{1: {'pet': 'Fish', 'house': 1, 'location': 4, 't': 147}, 6: {'pet': 'Dog', 'house': 6, 'location': 6, 't': 72}, 3: {'pet': 'Humpster', 'house': 2, 'location': 4, 't': 147}}
153;FinishTrip;{1: {'pet': 'Fish', 'house': 1, 'location': 4, 't': 147}, 6: {'pet': 'Dog', 'house': 6, 'location': 6, 't': 72}, 3: {'pet': 'Humpster', 'house': 2, 'location': 1, 't': 153}}
153;ChangePet;{1: {'pet': 'Humpster', 'house': 1, 'location': 1, 't': 153}, 6: {'pet': 'Dog', 'house': 6, 'location': 6, 't': 72}, 3: {'pet': 'Fish', 'house': 2, 'location': 1, 't': 153}}
158;FinishTrip;{1: {'pet': 'Humpster', 'house': 1, 'location': 1, 't': 153}, 6: {'pet': 'Dog', 'house': 6, 'location': 6, 't': 72}, 3: {'pet': 'Fish', 'house': 2, 'location': 1, 't': 153}, 2: {'pet': 'Bear', 'house': 3, 'location': 1, 't': 158}}
158;changeHouse;{1: {'pet': 'Humpster', 'house': 3, 'location': 1, 't': 158}, 6: {'pet': 'Dog', 'house': 6, 'location': 6, 't': 72}, 3: {'pet': 'Fish', 'house': 2, 'location': 1, 't': 153}, 2: {'pet': 'Bear', 'house': 1, 'location': 1, 't': 158}}
766;FinishTrip;{1: {'pet': 'Humpster', 'house': 3, 'location': 1, 't': 158}, 6: {'pet': 'Dog', 'house': 6, 'location': 6, 't': 72}, 3: {'pet': 'Bear', 'house': 2, 'location': 3, 't': 766}, 2: {'pet': 'Bear', 'house': 1, 'location': 1, 't': 158}}
818;FinishTrip;{1: {'pet': 'Humpster', 'house': 3, 'location': 1, 't': 158}, 6: {'pet': 'Dog', 'house': 6, 'location': 6, 't': 72}, 3: {'pet': 'Bear', 'house': 2, 'location': 3, 't': 766}, 2: {'pet': 'Bear', 'house': 1, 'location': 1, 't': 158}, 5: {'pet': 'Zebra', 'house': 1, 'location': 1, 't': 818}}
