1;0;StartTrip;Russian;1;6
2;0;StartTrip;Chinese;3;5
3;0;StartTrip;American;6;3
4;0;StartTrip;French;5;6
5;0;StartTrip;English;2;1
6;0;StartTrip;German;4;1
7;1;FinishTrip;0;Russian;6
8;1;StartTrip;Russian;6;1
9;2;FinishTrip;0;American;3
10;2;FinishTrip;0;German;1
11;2;FinishTrip;0;Chinese;5
12;2;StartTrip;German;1;4
13;4;FinishTrip;German;4
14;4;StartTrip;German;4;1
15;5;FinishTrip;Russian;1
16;5;FinishTrip;1;English;1
17;5;FinishTrip;0;French;6
18;5;StartTrip;Russian;1;5
19;5;StartTrip;English;1;2
20;5;StartTrip;French;6;5
21;6;FinishTrip;0;German;1
22;6;StartTrip;German;1;4
23;8;FinishTrip;0;Russian;5
24;8;FinishTrip;1;French;5
25;8;FinishTrip;German;4
26;8;ChangePet;2;Russian;Chinese;Zebra;Dog
27;8;changeHouse;3;Russian;Chinese;French;3;5;1
28;8;StartTrip;German;4;1
29;10;FinishTrip;0;German;1
30;10;ChangePet;2;Russian;French;Humpster;Zebra
31;10;StartTrip;German;1;4
32;11;FinishTrip;English;2
33;11;StartTrip;English;2;1
---- KNOWLEDGE ----
1;{1: {'pet': 'Humpster', 'house': 3, 'location': 5, 't': 10}, 2: {'pet': 'Cat', 'house': 2, 'location': 1, 't': 5}, 5: {'pet': 'Zebra', 'house': 1, 'location': 5, 't': 10}, 3: {'pet': 'Dog', 'house': 5, 'location': 5, 't': 8}}
2;{2: {'pet': 'Cat', 'house': 2, 'location': 2, 't': 0}, 1: {'pet': 'Dog', 'house': 1, 'location': 1, 't': 5}}
3;{3: {'pet': 'Dog', 'house': 5, 'location': 5, 't': 8}, 5: {'pet': 'Zebra', 'house': 1, 'location': 5, 't': 10}, 1: {'pet': 'Humpster', 'house': 3, 'location': 5, 't': 10}}
4;{4: {'pet': 'Fish', 'house': 4, 'location': 4, 't': 0}}
5;{5: {'pet': 'Zebra', 'house': 1, 'location': 5, 't': 10}, 1: {'pet': 'Humpster', 'house': 3, 'location': 5, 't': 10}, 3: {'pet': 'Dog', 'house': 5, 'location': 5, 't': 8}}
6;{6: {'pet': 'Bear', 'house': 6, 'location': 6, 't': 0}}
