1;0;StartTrip;Russian;1;6
2;0;StartTrip;Chinese;3;2
3;0;StartTrip;American;6;2
4;0;StartTrip;French;5;1
5;0;StartTrip;English;2;5
6;0;StartTrip;German;4;1
7;1;FinishTrip;0;Russian;6
8;1;StartTrip;Russian;6;1
9;2;FinishTrip;0;German;1
10;2;FinishTrip;0;English;5
11;2;StartTrip;German;1;4
12;2;StartTrip;English;5;2
13;3;FinishTrip;1;English;2
14;3;FinishTrip;Chinese;2
15;3;changeHouse;2;English;Chinese;3;2
16;3;StartTrip;English;2;3
17;3;StartTrip;Chinese;2;5
18;4;FinishTrip;German;4
19;4;FinishTrip;0;French;1
20;4;StartTrip;German;4;6
21;4;StartTrip;French;1;5
22;5;FinishTrip;Russian;1
23;5;FinishTrip;0;American;2
24;5;FinishTrip;0;Chinese;5
25;5;StartTrip;Russian;1;6
26;5;StartTrip;Chinese;5;2
27;5;StartTrip;American;2;6
28;6;FinishTrip;Chinese;2
29;6;FinishTrip;0;Russian;6
30;6;StartTrip;Chinese;2;3
31;6;StartTrip;Russian;6;1
32;7;FinishTrip;English;3
33;7;FinishTrip;French;5
34;7;FinishTrip;0;German;6
35;7;StartTrip;English;3;5
36;7;StartTrip;German;6;4
37;7;StartTrip;French;5;1
38;8;FinishTrip;German;4
39;8;StartTrip;German;4;1
40;9;FinishTrip;0;English;5
41;9;StartTrip;English;5;3
42;10;FinishTrip;Russian;1
43;10;FinishTrip;1;German;1
44;10;FinishTrip;0;Chinese;3
45;10;ChangePet;2;Russian;German;Fish;Dog
46;10;StartTrip;Russian;1;2
47;10;StartTrip;Chinese;3;2
48;10;StartTrip;German;1;4
49;11;FinishTrip;0;French;1
50;11;StartTrip;French;1;5
51;12;FinishTrip;German;4
52;12;StartTrip;German;4;1
53;13;FinishTrip;English;3
54;13;FinishTrip;Chinese;2
55;13;StartTrip;English;3;4
56;13;StartTrip;Chinese;2;3
57;14;FinishTrip;French;5
58;14;FinishTrip;0;German;1
59;14;StartTrip;French;5;6
60;14;StartTrip;German;1;4
61;15;FinishTrip;American;6
62;15;StartTrip;American;6;2
63;16;FinishTrip;German;4
64;16;FinishTrip;0;Russian;2
65;16;StartTrip;German;4;6
66;16;StartTrip;Russian;2;1
67;17;FinishTrip;0;Chinese;3
68;17;StartTrip;Chinese;3;2
69;18;FinishTrip;0;English;4
70;18;StartTrip;English;4;3
71;19;FinishTrip;0;French;6
72;19;FinishTrip;0;German;6
73;19;StartTrip;French;6;5
74;19;StartTrip;German;6;4
75;20;FinishTrip;Chinese;2
76;20;FinishTrip;German;4
77;20;FinishTrip;1;American;2
78;20;StartTrip;Chinese;2;5
79;20;StartTrip;American;2;6
80;20;StartTrip;German;4;6
81;21;FinishTrip;English;3
82;21;FinishTrip;Russian;1
83;21;StartTrip;English;3;5
84;21;StartTrip;Russian;1;6
85;22;FinishTrip;1;French;5
86;22;FinishTrip;0;Russian;6
87;22;FinishTrip;Chinese;5
88;22;ChangePet;2;Chinese;French;Humpster;Zebra
89;22;changeHouse;2;Chinese;French;5;2
90;22;StartTrip;French;5;2
91;22;StartTrip;Chinese;5;3
92;22;StartTrip;Russian;6;1
93;23;FinishTrip;French;2
94;23;FinishTrip;0;English;5
95;23;FinishTrip;0;German;6
96;23;StartTrip;French;2;1
97;23;StartTrip;German;6;4
98;23;StartTrip;English;5;3
99;24;FinishTrip;German;4
